City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score
Bengaluru,BTM Layout,5918,60038,7.6,62,3.04,2.66,0.72,1.01,90,1,8.0,9.1,8.6
Mumbai,Borivali West,11903,31266,8.1,105,2.18,1.67,1.11,0.22,67,1,6.7,7.9,7.7
Bengaluru,Whitefield,14317,44389,8.8,176,2.16,2.92,2.35,0.97,113,1,8.4,7.8,9.1
Pune,Baner,5625,20868,5.5,106,1.18,2.79,1.31,1.13,93,1,9.4,9.3,7.4
Bengaluru,Indiranagar,6262,52212,7.9,212,2.1,1.81,2.64,0.6,83,1,8.5,6.5,9.1
Chennai,Perungudi,13995,26414,5.8,106,2.42,1.55,1.49,0.65,103,1,7.7,9.2,5.9
Hyderabad,Secunderabad,9642,40323,6.0,117,2.28,2.97,0.85,0.21,96,1,8.4,9.3,5.8
Bengaluru,Yelahanka,5552,43874,8.7,108,1.01,1.33,0.52,0.73,108,1,7.6,9.0,7.0
Pune,Kothrud,12189,38411,8.9,160,2.42,1.91,2.76,0.36,88,1,9.1,8.8,9.3
Hyderabad,Miyapur,9639,59712,9.0,172,1.84,3.0,1.67,0.79,89,1,8.5,7.5,6.3
Chennai,OMR,9610,36617,6.2,168,3.43,1.86,0.63,0.62,83,1,7.9,9.1,7.9
Delhi NCR,South Delhi,13122,33322,6.5,113,3.17,2.61,1.58,0.84,86,1,6.5,9.0,7.1
Hyderabad,Secunderabad,11480,46585,5.7,160,2.19,1.85,1.9,0.75,110,1,6.8,9.3,7.0
Pune,Hinjewadi,13177,44290,6.8,108,1.86,3.11,1.8,0.92,81,1,9.4,9.1,8.5
Mumbai,Navi Mumbai Vashi,10532,37400,8.4,148,1.8,1.34,1.51,0.3,89,1,8.1,6.0,7.9
Mumbai,Thane West,13896,48049,7.6,132,1.49,1.39,0.33,0.69,87,1,6.2,7.4,8.1
Pune,Nigdi,18741,41447,7.3,213,2.86,2.64,2.35,0.88,81,1,6.8,7.2,8.1
Delhi NCR,South Delhi,15558,42650,9.0,197,2.17,3.13,0.47,0.25,75,1,8.3,7.6,8.3
Chennai,Tambaram,12689,31697,7.2,186,3.03,1.87,1.66,1.2,98,1,8.3,7.0,7.6
Delhi NCR,Faridabad,9166,52237,7.7,215,3.14,1.26,0.39,0.52,113,1,8.0,8.5,7.4
Delhi NCR,Dwarka Sec 12,17321,51047,7.9,71,1.01,3.14,0.63,0.72,92,1,9.2,6.7,9.4
Pune,Aundh,16228,57419,5.7,185,2.43,2.52,1.33,1.07,92,1,6.9,6.3,7.2
Delhi NCR,Dwarka Sec 12,15433,37280,7.8,188,3.18,1.79,1.87,0.51,98,1,9.5,6.6,9.3
Mumbai,Andheri West,14063,48349,9.3,123,1.49,3.05,0.56,0.68,85,1,6.6,6.6,9.0
Hyderabad,Secunderabad,8136,54569,7.4,170,1.71,1.17,1.36,0.58,60,1,6.4,7.8,7.6
Chennai,OMR,7870,37726,7.7,141,1.66,3.15,1.61,0.55,83,1,8.4,8.1,5.7
Chennai,Guindy,12843,48997,6.1,78,1.25,2.55,0.85,1.09,81,1,9.3,6.1,6.0
Delhi NCR,Dwarka Sec 12,14529,25301,9.5,143,2.45,1.59,2.12,1.11,107,1,6.9,7.1,8.9
Hyderabad,Jubilee Hills,16839,36801,7.6,125,2.41,1.53,2.51,0.35,68,1,8.0,9.3,8.9
Chennai,Velachery,12911,33037,7.4,211,1.71,2.58,0.41,0.78,64,1,9.5,7.3,9.3
Bengaluru,BTM Layout,16949,56089,8.4,189,1.12,3.08,2.67,0.21,116,1,6.2,6.2,8.5
Bengaluru,Yelahanka,7456,41837,8.4,63,3.04,2.77,2.79,0.43,100,1,7.3,7.5,7.2
Pune,Aundh,18593,47947,9.0,212,2.1,3.46,2.05,0.91,61,1,7.7,9.0,6.9
Mumbai,Kandivali West,10435,46659,8.2,92,1.12,3.44,1.34,0.47,64,1,8.1,9.5,5.6
Delhi NCR,Dwarka Sec 12,10124,35524,5.9,74,3.46,1.75,0.6,1.13,61,1,8.6,9.5,7.2
Mumbai,Thane West,9287,62808,7.3,64,1.44,3.34,0.86,0.88,115,1,6.3,6.7,6.4
Hyderabad,Kondapur,17233,32529,9.0,95,2.91,3.09,2.94,1.2,71,1,7.6,8.3,6.8
Delhi NCR,Saket,19058,26621,6.0,78,1.12,1.44,2.38,0.95,106,1,7.1,6.4,9.3
Chennai,Perungudi,12263,50619,8.2,85,2.98,3.49,2.88,1.08,74,1,6.6,6.5,6.1
Hyderabad,Kondapur,12908,27318,7.8,160,1.92,2.59,2.56,0.25,102,1,6.4,7.7,6.7
Pune,Kothrud,10492,45352,9.1,97,2.01,2.21,0.7,1.01,65,1,6.4,9.2,8.0
Mumbai,Bandra East,8852,49368,9.0,125,1.94,2.35,1.12,0.29,71,1,6.0,8.4,7.7
Chennai,T Nagar,6212,56182,6.5,216,1.79,3.44,1.85,0.86,113,1,8.0,6.1,9.1
Mumbai,Navi Mumbai Vashi,10419,35735,7.4,67,2.55,2.57,1.73,0.53,77,1,6.8,7.0,8.3
Bengaluru,Marathahalli,14267,26165,8.7,208,1.19,1.28,0.93,1.18,101,1,8.7,6.6,7.2
Mumbai,Powai,18890,39813,7.9,125,1.5,2.32,2.45,0.98,69,1,7.0,8.1,8.1
Bengaluru,Hebbal,5529,35772,6.6,198,1.81,3.46,1.75,0.26,64,1,7.7,7.4,8.3
Chennai,Perungudi,15713,19288,6.3,183,3.19,1.01,1.0,0.96,110,1,8.5,8.3,7.3
Hyderabad,HITEC City,10320,41514,6.3,207,3.26,2.2,1.92,1.14,96,1,9.3,8.6,9.2
Chennai,Adyar,9672,52033,7.4,119,1.26,1.58,0.56,0.46,116,1,6.1,8.9,8.0
Bengaluru,JP Nagar,18133,54166,8.4,162,2.03,3.06,1.21,0.92,101,1,8.9,8.3,7.2
Delhi NCR,Noida Sec 62,11897,52262,7.2,121,1.02,2.79,0.87,0.57,103,1,6.6,9.2,9.3
Pune,Hadapsar,17304,43086,6.8,218,3.13,2.61,2.71,0.71,86,1,6.9,7.7,9.1
Bengaluru,Electronic City,9190,55105,8.4,199,3.48,1.87,0.47,0.79,117,1,6.3,8.5,6.3
Mumbai,Kandivali West,15957,25369,9.3,85,1.82,2.48,2.13,0.81,101,1,6.7,7.7,5.7
Bengaluru,Hebbal,8931,41185,9.5,128,1.53,3.15,2.95,1.08,61,1,8.0,8.3,8.7
Hyderabad,Manikonda,10407,28444,6.5,143,2.37,3.09,1.56,0.61,115,1,6.9,7.8,5.9
Hyderabad,Kukatpally,8879,45726,8.9,160,1.85,2.02,0.83,0.82,83,1,6.5,8.6,6.6
Hyderabad,Kondapur,8982,50294,9.4,124,3.16,3.45,0.59,0.48,96,1,8.1,7.4,5.7
Hyderabad,Begumpet,8692,52744,6.4,74,1.04,1.68,1.86,1.07,94,1,7.7,7.4,6.2
Hyderabad,Banjara Hills,13347,38601,7.0,156,1.6,1.87,1.35,0.67,102,1,9.2,7.3,5.7
Bengaluru,Hebbal,18497,53763,9.2,170,1.37,1.36,0.95,0.43,109,1,7.1,7.5,9.3
Pune,Kharadi,14707,21028,9.3,109,1.98,2.98,2.88,0.43,114,1,8.6,7.4,6.4
Pune,Nigdi,9850,47263,8.8,66,1.21,1.79,2.15,0.48,89,1,9.2,7.7,6.0
Hyderabad,Kondapur,18707,19869,5.6,67,2.39,2.99,1.71,0.71,71,1,8.5,6.1,5.9
Mumbai,Powai,9810,53318,6.2,124,1.72,1.77,2.25,0.91,104,1,8.9,8.2,5.6
Delhi NCR,Rohini Sec 15,18380,56371,5.6,134,2.8,3.04,1.61,0.53,118,1,8.9,7.1,8.6
Delhi NCR,Gurgaon DLF Phase 3,9697,48136,7.5,142,2.54,1.77,2.42,1.1,78,1,7.7,8.5,6.2
Pune,Wakad,18280,22086,8.7,87,1.74,2.62,2.18,1.0,99,1,6.2,7.7,8.8
Chennai,Sholinganallur,9371,46632,5.8,90,2.98,3.48,2.59,0.44,66,1,8.1,6.5,5.7
Pune,Aundh,11942,64877,6.7,110,2.18,3.08,0.46,0.64,113,1,8.6,8.0,6.4
Delhi NCR,Greater Noida,15815,36988,8.2,76,3.45,1.92,0.31,0.25,99,1,6.6,8.6,8.8
Pune,Kothrud,11076,44354,6.0,99,3.25,2.49,2.77,1.03,87,1,9.3,6.8,8.0
Bengaluru,Yelahanka,12598,52340,8.8,91,1.99,2.42,2.67,0.31,82,1,8.3,6.2,6.7
Bengaluru,Rajajinagar,16776,61637,6.3,87,1.46,3.09,2.5,0.92,88,1,8.2,8.2,6.6
Hyderabad,HITEC City,12720,64451,6.1,66,1.52,1.57,1.91,0.93,87,1,9.3,8.9,7.0
Delhi NCR,Dwarka Sec 12,6012,54359,8.5,97,2.97,2.41,0.51,1.09,80,1,6.6,8.4,7.9
Bengaluru,Yelahanka,6226,29228,6.9,169,3.0,2.72,2.6,1.1,117,1,6.3,6.3,7.9
Delhi NCR,Rohini Sec 15,13983,35668,6.4,183,1.59,1.11,1.64,0.77,110,1,9.1,9.2,6.6
Chennai,Adyar,12018,55934,7.4,121,2.21,2.64,2.15,0.26,61,1,8.4,7.4,9.1
Delhi NCR,Greater Noida,19593,22281,5.9,219,2.75,3.46,1.69,0.3,80,1,6.7,6.8,5.7
Mumbai,Goregaon East,11950,51624,8.7,77,2.03,3.39,1.1,1.06,87,1,7.8,8.9,9.2
Bengaluru,Electronic City,10400,32147,5.8,70,1.07,3.08,2.64,0.31,111,1,6.0,7.3,9.1
Mumbai,Borivali West,10015,21752,7.5,194,1.01,1.54,1.75,0.52,72,1,6.8,9.2,6.4
Chennai,OMR,7301,32859,9.1,95,2.41,1.42,0.89,1.12,83,1,8.4,6.4,8.7
Bengaluru,Rajajinagar,8132,58563,9.1,121,1.72,1.8,2.62,0.66,117,1,8.7,6.6,7.8
Delhi NCR,Dwarka Sec 12,19489,41080,8.1,131,2.24,2.2,1.35,0.68,60,1,8.2,6.6,9.4
Chennai,T Nagar,16338,60870,8.0,103,2.22,2.25,0.72,0.63,99,1,6.3,6.5,7.8
Pune,Wakad,15597,28029,8.9,92,3.26,1.42,1.21,0.25,67,1,6.2,6.0,7.8
Mumbai,Kandivali West,17180,51447,7.7,170,2.59,1.28,1.44,1.04,73,1,9.4,8.7,9.0
Chennai,OMR,18882,27621,9.2,150,1.36,1.04,1.07,0.39,110,1,7.6,6.6,6.7
Mumbai,Malad West,15258,31379,8.3,91,1.06,1.89,0.56,1.12,97,1,6.2,8.4,6.2
Chennai,Guindy,11183,63053,5.8,87,2.44,1.67,0.71,1.11,109,1,8.6,7.5,6.4
Mumbai,Goregaon East,18041,44650,5.6,179,2.08,1.44,1.1,0.32,104,1,7.4,7.6,7.5
Pune,Viman Nagar,9440,35698,6.2,192,2.73,2.13,0.74,0.79,111,1,8.0,8.5,8.3
Chennai,Velachery,14522,37501,8.3,129,1.23,1.18,1.52,0.63,96,1,7.2,6.6,9.3
Pune,Nigdi,16058,59037,7.8,196,2.31,1.71,2.1,0.61,99,1,6.7,8.9,5.7
Mumbai,Thane West,12018,42378,8.3,208,2.33,1.91,0.95,0.46,105,1,7.1,8.8,8.5
Mumbai,Malad West,14479,56122,7.7,180,2.09,3.41,2.83,0.34,90,1,9.5,9.3,7.0
Hyderabad,Secunderabad,10385,54689,7.1,88,1.65,2.3,0.7,0.2,102,1,7.6,8.6,7.6
Mumbai,Andheri East,11256,47364,7.9,76,1.36,1.59,2.35,1.05,94,1,7.1,6.5,5.7
Bengaluru,Yelahanka,19060,22233,7.6,111,2.99,1.71,2.88,1.02,106,1,6.2,7.9,7.5
Pune,Kharadi,9326,39068,5.9,159,1.18,2.9,1.41,0.75,74,1,6.4,8.2,5.9
Delhi NCR,Greater Noida,16010,54067,7.0,168,2.82,2.81,2.27,0.69,98,1,8.9,6.5,8.3
Mumbai,Navi Mumbai Vashi,9300,30280,9.4,185,2.0,1.33,2.06,0.95,65,1,8.3,7.6,6.9
Delhi NCR,Saket,8197,34636,6.2,80,3.07,3.42,0.55,0.98,95,1,6.8,6.5,6.5
Mumbai,Thane West,15266,29161,8.5,115,1.3,2.79,1.33,0.27,105,1,8.8,6.9,8.3
Bengaluru,Indiranagar,17896,27453,8.1,207,2.24,2.14,1.42,0.85,101,1,7.1,6.8,8.6
Delhi NCR,Ghaziabad,13591,26405,6.3,197,1.15,1.39,1.54,0.31,96,1,7.6,7.9,7.8
Pune,Kharadi,9261,35639,7.3,99,3.27,1.22,0.7,0.5,89,1,8.6,8.9,8.3
Chennai,Anna Nagar,6691,28957,8.7,117,3.46,2.62,1.02,1.12,76,1,7.8,9.1,8.7
Bengaluru,Hebbal,8987,42357,6.9,127,1.7,1.98,2.37,0.83,105,1,6.0,7.9,7.8
Pune,Hadapsar,8612,49960,8.0,105,1.87,2.8,2.28,0.78,88,1,7.5,7.2,8.9
Chennai,Porur,6939,38991,5.7,143,3.49,3.22,2.8,0.56,76,1,6.1,8.8,9.2
Mumbai,Thane West,19504,19080,6.9,165,1.83,1.79,1.27,0.99,79,1,6.3,7.8,6.5
Pune,Viman Nagar,17068,34672,7.0,70,3.03,2.68,2.85,0.64,118,1,7.3,7.1,8.8
Bengaluru,Rajajinagar,13655,49311,7.2,135,2.65,2.29,2.36,0.72,71,1,6.9,7.2,6.1
Hyderabad,Begumpet,10436,39473,8.9,81,3.28,2.33,1.12,0.31,80,1,8.0,8.3,9.3
Pune,Nigdi,9132,33920,9.2,192,1.64,1.59,2.59,0.32,107,1,6.2,7.4,7.0
Bengaluru,JP Nagar,11752,20912,5.9,77,2.52,2.39,1.56,0.27,118,1,7.4,7.1,7.5
Hyderabad,Banjara Hills,17334,18804,9.4,207,1.92,2.84,1.1,0.32,118,1,7.7,9.2,8.1
Chennai,Perungudi,17501,33509,5.9,177,2.79,1.87,1.83,0.57,76,1,7.6,6.7,5.5
Bengaluru,Indiranagar,15389,62650,9.5,112,2.41,1.24,2.18,0.73,115,1,6.0,6.5,6.9
Mumbai,Goregaon East,12269,51469,8.7,143,1.45,1.19,1.27,0.66,83,1,8.3,7.3,6.2
Mumbai,Andheri West,8431,48643,6.1,125,1.86,1.79,0.33,0.97,107,1,8.6,7.3,7.0
Delhi NCR,Noida Sec 18,15639,21143,6.7,200,1.21,1.49,0.38,0.6,67,1,8.8,9.4,5.6
Chennai,Tambaram,16483,47852,5.6,118,1.09,2.88,1.56,0.63,63,1,7.5,8.5,6.2
Bengaluru,Electronic City,14166,21677,6.7,202,2.53,2.13,1.38,1.06,92,1,6.2,9.3,8.6
Pune,Hinjewadi,9518,18155,8.5,120,2.77,2.28,2.4,0.53,78,1,8.3,6.4,7.9
Mumbai,Malad West,10011,43992,9.2,179,1.93,2.29,1.92,0.73,118,1,6.7,9.3,6.1
Chennai,Sholinganallur,17680,62200,7.1,201,1.23,2.61,1.63,0.42,63,1,9.1,8.1,7.6
Bengaluru,Whitefield,19167,55320,6.6,169,2.91,2.32,1.37,0.9,62,1,8.2,7.8,7.1
Delhi NCR,Greater Noida,10972,40857,9.5,60,1.09,1.39,0.85,1.17,113,1,9.5,9.0,9.4
Mumbai,Thane West,7898,46444,7.4,155,2.69,1.25,2.6,1.16,118,1,9.2,6.7,7.0
Pune,Nigdi,16914,37302,8.4,87,1.95,3.39,2.64,0.69,81,1,7.2,7.3,8.3
Hyderabad,Jubilee Hills,12186,60852,5.7,120,3.48,2.86,1.49,0.38,69,1,8.1,6.3,6.7
Mumbai,Kandivali West,17203,46472,7.0,194,3.29,1.72,0.55,1.08,81,1,6.9,8.2,9.3
Hyderabad,Gachibowli,17213,56287,9.5,112,2.01,1.66,0.93,1.08,67,1,8.1,7.7,6.0
Mumbai,Thane West,7547,45597,7.4,118,1.88,3.23,2.41,0.92,71,1,7.3,7.6,6.5
Pune,Wakad,15885,55616,9.1,117,3.29,1.01,1.58,0.91,60,1,8.2,7.7,9.0
Bengaluru,Whitefield,7750,50421,6.0,80,2.66,1.36,1.26,0.75,62,1,8.4,7.5,6.7
Hyderabad,Miyapur,19301,56380,8.3,177,2.85,3.19,2.17,0.59,78,1,9.3,8.5,6.1
Pune,Viman Nagar,11768,38127,5.7,69,1.47,2.85,1.01,0.82,102,1,7.0,7.5,6.6
Chennai,Anna Nagar,7476,44572,9.2,187,1.7,3.49,2.08,0.31,97,1,7.1,7.5,6.4
Chennai,Anna Nagar,12907,41744,5.9,139,2.11,2.66,1.75,1.1,77,1,9.0,8.4,5.9
Delhi NCR,Saket,16375,33632,6.4,160,3.4,2.81,0.55,0.54,108,1,9.1,7.8,9.3
Bengaluru,Indiranagar,13515,42017,6.7,136,1.77,1.79,2.39,0.77,60,1,6.1,6.3,8.0
Delhi NCR,Dwarka Sec 12,19620,41581,7.9,133,1.89,2.63,2.34,0.67,78,1,8.7,7.6,7.3
Chennai,T Nagar,15294,23946,7.7,117,2.09,1.08,2.11,0.64,106,1,9.1,7.3,6.2
Hyderabad,Manikonda,11564,37934,9.4,208,1.01,1.58,2.26,1.0,88,1,6.5,8.5,9.4
Delhi NCR,Noida Sec 18,9732,63759,7.8,153,1.37,1.84,1.69,0.47,65,1,9.0,8.0,6.6
Hyderabad,Gachibowli,8581,37888,5.7,112,1.72,2.22,1.96,0.4,74,1,8.3,6.5,7.5
Bengaluru,Yelahanka,6817,28311,5.8,142,1.59,1.95,2.9,1.14,89,1,6.9,7.1,5.7
Mumbai,Powai,13185,52004,9.2,176,3.03,2.78,2.58,1.04,60,1,6.4,8.3,9.2
Hyderabad,Kukatpally,9174,46368,8.1,199,2.98,2.82,0.79,0.52,90,1,7.3,8.6,7.2
Delhi NCR,South Delhi,14617,63462,6.2,85,1.05,2.46,0.58,0.29,110,1,8.3,6.0,9.1
Chennai,OMR,12567,44022,8.2,85,2.1,1.81,0.58,1.06,63,1,6.4,8.2,7.5
Bengaluru,HSR Layout,17107,46941,9.2,100,2.1,2.64,2.01,1.0,102,1,6.6,7.8,7.5
Bengaluru,Indiranagar,16289,21707,8.4,83,1.12,1.76,1.4,0.33,68,1,8.7,8.2,7.2
Chennai,Anna Nagar,6332,42451,7.5,163,2.66,1.45,2.17,0.98,73,1,9.5,7.8,8.1
Mumbai,Andheri East,7531,36019,6.0,206,3.49,2.54,0.54,0.66,91,1,9.1,8.8,8.9
Bengaluru,Yelahanka,15446,60532,8.1,169,1.72,2.04,0.89,0.53,100,1,8.1,6.9,9.1
Pune,Kharadi,8765,48401,9.1,172,1.26,1.88,0.4,0.98,63,1,6.0,9.4,7.0
Mumbai,Borivali West,17229,45358,7.3,144,2.35,2.47,0.83,0.87,76,1,8.3,7.4,6.9
Chennai,Adyar,15542,28193,7.3,161,2.38,2.08,1.99,0.63,114,1,7.3,7.3,6.0
Pune,Kothrud,19179,47845,7.9,116,2.68,1.47,2.51,0.73,97,1,8.5,6.1,6.3
Mumbai,Andheri West,10789,54469,8.6,102,2.17,2.97,2.06,0.73,115,1,9.2,9.0,5.7
Chennai,Perungudi,15605,61252,7.4,99,3.16,2.99,1.54,0.31,63,1,6.5,7.6,8.4
Pune,Kharadi,16140,34955,7.5,87,3.29,1.36,2.41,0.38,113,1,9.3,8.5,5.8
Bengaluru,Whitefield,7300,21359,6.0,140,3.07,1.37,0.34,0.33,94,1,7.7,8.9,6.6
Mumbai,Borivali West,6275,34469,7.8,202,2.13,1.06,1.41,0.74,72,1,6.6,8.5,5.8
Hyderabad,Jubilee Hills,16340,54389,6.5,130,1.8,2.71,2.58,0.73,98,1,6.5,7.0,8.5
Bengaluru,Electronic City,17100,22356,8.4,63,2.29,1.86,2.02,0.27,102,1,8.4,9.0,6.1
Pune,Kharadi,7697,45162,5.6,180,1.01,1.63,2.25,0.59,73,1,6.9,8.7,8.5
Pune,Wakad,10469,37655,9.3,147,1.81,1.42,2.29,0.2,107,1,9.1,8.5,9.4
Pune,Kharadi,15783,31273,8.9,119,1.96,2.02,2.54,0.47,81,1,8.3,6.1,8.2
Delhi NCR,Greater Noida,11188,43410,8.7,216,1.64,2.87,0.59,0.3,74,1,8.2,9.2,9.3
Mumbai,Navi Mumbai Vashi,12618,19078,8.9,177,1.82,1.42,1.21,1.04,98,1,6.8,9.1,5.6
Hyderabad,Jubilee Hills,13213,38159,7.2,185,1.84,1.93,0.46,0.3,102,1,8.3,8.1,8.7
Chennai,Adyar,8743,23206,6.5,154,2.45,1.34,1.31,0.7,61,1,8.0,7.4,7.9
Pune,Viman Nagar,9085,39749,8.3,183,2.37,1.5,2.51,0.22,64,1,8.9,8.0,5.9
Delhi NCR,Rohini Sec 15,17222,39732,6.1,180,2.76,3.43,1.7,0.28,106,1,6.4,6.7,8.7
Hyderabad,Kondapur,13876,38405,6.2,91,1.09,1.17,1.9,0.29,79,1,7.0,8.6,6.2
Chennai,OMR,9891,64800,5.7,162,1.83,2.74,0.52,0.77,106,1,7.9,7.3,6.9
Hyderabad,Kondapur,11549,38046,7.9,96,2.27,1.92,2.42,0.2,77,1,7.5,9.4,7.9
Chennai,Anna Nagar,15190,23085,7.5,202,2.89,2.6,2.29,0.95,95,1,9.4,6.7,6.8
Chennai,Sholinganallur,13437,53561,8.4,75,2.11,2.16,0.33,1.0,91,1,6.2,7.6,8.4
Hyderabad,Secunderabad,8307,49412,8.5,60,1.03,1.6,0.42,0.95,101,1,7.4,8.2,9.2
Chennai,OMR,9860,50240,6.8,200,1.96,2.75,0.42,1.19,96,1,8.6,7.4,9.1
Pune,Kharadi,16527,28096,8.7,163,2.2,2.63,1.04,0.74,110,1,7.2,8.5,9.1
Bengaluru,HSR Layout,8960,50275,5.9,118,2.06,2.8,0.9,0.49,95,1,8.8,9.2,5.7
Mumbai,Goregaon East,16924,20309,8.7,159,2.5,3.39,1.59,0.5,97,1,9.0,7.9,7.7
Delhi NCR,Gurgaon DLF Phase 3,17434,30923,6.0,150,1.5,2.37,1.8,0.25,93,1,7.9,7.7,9.4
Bengaluru,Yelahanka,19181,64294,6.8,87,3.15,3.25,1.65,1.09,66,1,7.4,6.6,8.6
Delhi NCR,Noida Sec 18,12979,40036,8.2,157,1.19,2.43,1.33,0.86,113,1,6.9,7.5,9.0
Bengaluru,JP Nagar,5769,45764,8.7,183,1.76,2.05,1.5,0.32,88,1,6.1,8.8,8.1
Mumbai,Andheri West,19999,28886,6.5,67,3.47,1.41,2.26,1.08,101,1,6.4,8.4,8.1
Chennai,Perungudi,17660,57045,8.5,216,1.04,1.27,1.89,0.86,81,1,7.7,7.9,6.7
Mumbai,Borivali West,18520,55787,8.8,162,1.83,2.04,1.99,0.5,82,1,7.6,7.5,7.5
Pune,Hadapsar,16228,30661,6.6,181,1.78,1.93,0.97,1.09,108,1,8.7,7.0,6.0
Hyderabad,Secunderabad,17122,31802,9.0,154,1.11,1.81,2.24,0.68,68,1,8.9,8.6,9.4
Pune,Viman Nagar,12437,54536,6.3,212,2.07,2.3,1.33,0.59,77,1,6.1,7.3,8.9
Pune,Aundh,14620,25698,6.4,128,2.29,1.09,1.77,0.32,92,1,8.7,6.3,8.4
Bengaluru,HSR Layout,6237,21064,9.3,139,2.72,2.49,1.6,0.29,104,1,9.3,6.5,8.4
Mumbai,Malad West,9540,60752,7.6,177,1.22,1.41,2.8,0.63,107,1,8.3,6.1,8.7
Pune,Kharadi,11118,31141,7.9,218,2.75,1.02,2.29,1.18,115,1,7.0,8.7,7.2
Hyderabad,Miyapur,9651,55386,9.4,212,1.68,1.97,0.53,1.16,101,1,6.5,7.0,9.1
Hyderabad,HITEC City,8424,51355,8.2,173,1.84,2.75,1.08,0.22,104,1,8.1,7.4,6.6
Delhi NCR,Greater Noida,10788,35885,8.5,187,1.12,1.04,1.87,1.1,65,1,7.5,7.6,6.1
Hyderabad,Gachibowli,16814,58568,6.2,203,1.17,2.3,2.04,0.44,79,1,9.2,8.7,8.9
Pune,Baner,5517,31052,7.1,163,1.21,2.47,1.98,0.9,72,1,9.2,7.2,6.4
Mumbai,Andheri East,6050,35528,7.6,136,1.24,1.77,0.69,0.3,104,1,6.8,6.5,8.3
Hyderabad,Banjara Hills,14361,29883,7.1,205,2.69,2.07,1.88,1.15,109,1,9.4,9.2,9.2
Mumbai,Malad West,9739,53802,6.9,148,2.38,2.56,1.73,0.95,107,1,8.6,8.2,6.1
Hyderabad,Manikonda,16060,47855,6.1,192,1.45,1.47,2.2,1.02,71,1,6.7,9.2,7.8
Delhi NCR,Ghaziabad,7411,22112,7.6,149,1.3,2.52,1.62,0.92,84,1,7.2,7.8,5.9
Pune,Wakad,11555,26241,8.5,195,2.29,3.05,1.64,0.79,80,1,7.5,6.0,5.5
Chennai,Perungudi,12856,31443,6.4,107,2.38,2.81,0.65,0.44,90,1,8.2,8.3,8.2
Hyderabad,HITEC City,18810,40313,8.8,65,1.39,1.51,1.64,0.32,60,1,7.1,6.8,8.5
Bengaluru,Yelahanka,18391,48167,8.4,194,2.49,2.33,2.49,0.38,66,1,6.4,6.7,5.6
Chennai,Tambaram,6671,56011,6.5,139,1.23,2.12,0.96,0.83,99,1,8.6,7.2,9.3
Mumbai,Malad West,17008,47359,9.4,130,2.37,1.08,2.69,0.46,89,1,6.2,7.9,7.0
Delhi NCR,Ghaziabad,9137,42245,9.2,147,2.04,2.19,1.56,0.27,78,1,8.3,7.5,5.9
Pune,Kothrud,7734,62545,9.3,217,3.11,2.81,2.01,1.12,114,1,7.1,7.2,5.8
Hyderabad,Begumpet,19312,36466,7.6,126,1.71,2.4,2.26,0.77,71,1,9.3,6.8,6.4
Chennai,Perungudi,11906,58076,7.7,99,1.36,2.45,2.36,0.23,102,1,8.3,6.8,6.9
Pune,Kothrud,6843,27041,7.6,159,1.72,1.91,2.65,0.2,66,1,7.2,6.1,8.8
Chennai,Velachery,19603,62724,6.8,92,3.32,1.08,1.51,0.43,73,1,7.4,9.2,5.9
Chennai,Anna Nagar,19075,26448,6.1,81,1.29,2.09,2.21,0.65,72,1,8.6,8.8,8.5
Delhi NCR,Noida Sec 62,15855,18805,7.5,182,3.48,2.98,1.06,0.99,85,1,8.8,8.9,9.3
Chennai,Guindy,16037,48832,7.1,198,2.51,2.53,2.0,0.51,105,1,8.3,6.5,7.3
Delhi NCR,South Delhi,10311,63826,9.2,215,1.44,2.53,1.4,0.34,115,1,7.9,8.0,6.2
Pune,Nigdi,13694,59625,7.2,181,1.36,2.94,3.0,0.45,63,1,6.5,7.2,5.8
Mumbai,Thane West,16874,36132,8.3,219,2.12,2.11,0.33,1.18,64,1,9.2,9.4,5.7
Chennai,Adyar,6248,62345,7.0,210,1.63,2.56,1.2,1.05,117,1,7.5,7.8,8.6
Chennai,OMR,6810,56371,7.9,91,3.26,1.67,2.24,0.62,87,1,6.6,7.0,8.7
Mumbai,Kandivali West,13000,51152,8.7,171,1.74,3.2,1.65,1.16,108,1,6.1,8.3,8.2
Mumbai,Borivali West,9700,24211,8.6,124,2.38,1.6,0.66,1.16,118,1,7.3,6.4,7.2
Pune,Viman Nagar,10059,47020,6.2,213,1.47,1.59,2.52,1.0,100,1,7.6,9.4,6.3
Bengaluru,Marathahalli,11602,30900,8.5,170,2.31,2.02,2.19,0.86,73,1,8.3,8.5,5.9
Chennai,Velachery,10600,24957,6.1,205,2.33,1.25,1.7,1.2,114,1,9.1,6.8,6.9
Delhi NCR,Greater Noida,5829,28263,7.7,180,3.48,3.39,1.33,0.93,110,1,6.9,7.5,5.7
Bengaluru,Yelahanka,14356,29020,6.9,82,1.25,2.48,2.4,0.64,86,1,6.4,9.2,6.2
Delhi NCR,Gurgaon DLF Phase 3,7650,44335,6.2,137,1.87,3.09,1.02,0.61,91,1,8.4,6.5,7.1
